"","jaccard_C1","jaccard_C2","jaccard_C3","jaccard_C4","jaccard_C5","jaccard_C6","jaccard_C7","jaccard_C8"
"cosine_C1",0.151515151515152,0,0.333333333333333,0,0.0512820512820513,0,0,0.0638297872340425
"cosine_C2",0.05,0,0.186046511627907,0.0588235294117647,0,0,0,0
"cosine_C3",0,0.1,0,0,0.5,0,0.0555555555555556,0
"cosine_C4",0,0,0,0,0,0.470588235294118,0.30952380952381,0.0192307692307692
"cosine_C5",0,0,0.0454545454545455,0.3,0,0,0,0
"cosine_C6",0.05,0.117647058823529,0.02,0.0588235294117647,0.0434782608695652,0.0344827586206897,0.0294117647058824,0.0645161290322581
"cosine_C7",0.117647058823529,0.0588235294117647,0.214285714285714,0.0606060606060606,0.0512820512820513,0,0.0612244897959184,0.0416666666666667
"cosine_C8",0,0,0,0,0,0.0731707317073171,0.13953488372093,0.46875
"cosine_C9",0,0.272727272727273,0.0222222222222222,0.0833333333333333,0,0,0,0
